"ID";"ElectDistrict";"Party";"Age";"Gender";"Independent";"Region";"EduLvl";"RegElected";"MP";"EuroMP"
"Aalto Katri";"Uusimaa";"IPU";43;"F";0;"Uusimaa";5;0;0;0
"Alander Marja-Liisa";"Tavastia";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Alhonen Kari";"Pirkanmaa";"IPU";66;"M";0;"Pirkanmaa";7;0;0;0
"Anttila Pentti";"Pirkanmaa";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Finskas Jan";"Uusimaa";"IPU";42;"M";0;"Uusimaa";2;0;0;0
"Hakasaari Iiris";"Vaasa";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Halko Jaakko";"Kymi";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Hamalainen Jari";"Helsinki";"IPU";58;"M";0;"Uusimaa";1;0;0;0
"Harju Ari-Pekka";"Vaasa";"IPU";46;"M";0;"S-Ostrobothnia";3;0;0;0
"Heinonen Matti";"Vaasa";"IPU";NA;"M";0;NA;0;0;0;0
"Henneken Markku";"N-Karelia";"IPU";41;"M";0;"N-Karelia";3;0;0;0
"Herrala Marjatta";"Satakunta";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Hiltunen Janne";"N-Karelia";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Hirvimaki Jani";"Finland Proper";"IPU";33;"M";0;"W-Finland";3;0;0;0
"Honkasalo Teppo";"Finland Proper";"IPU";46;"M";0;"W-Finland";4;0;0;0
"Huttunen Asko";"Uusimaa";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Ikonen Hannu";"Uusimaa";"IPU";57;"M";1;"E-Uusimaa";4;0;0;0
"Kaikko Aarno";"Kymi";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Kallinen Miila";"Uusimaa";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Kanerva Kane";"Helsinki";"IPU";40;"M";0;"Uusimaa";5;0;0;0
"Kantola Elina";"Kymi";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Kare Veijo";"Tavastia";"IPU";59;"M";1;"Paijat-Hame";6;0;0;0
"Kekki Jorma";"Pirkanmaa";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Kettunen Miia";"N-Karelia";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Koivunen Heikki";"Pirkanmaa";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Kolehmainen Anne-Marie";"Vaasa";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Kortie Lana";"Uusimaa";"IPU";45;"F";0;"Uusimaa";5;0;0;0
"Kukkonen Hannu";"Helsinki";"IPU";43;"M";1;"Uusimaa";3;0;0;0
"Kulmala Mikko";"Uusimaa";"IPU";35;"M";0;"Uusimaa";4;0;0;0
"Laakso Jouko";"Finland Proper";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Lagerspets Paul";"Pirkanmaa";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Laine Oiva";"Pirkanmaa";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Launokari Lea";"Uusimaa";"IPU";66;"F";0;"Uusimaa";4;0;0;0
"Liehu Veikko";"N-Karelia";"IPU";64;"M";0;"N-Karelia";6;0;0;0
"Lindequist Pia";"Vaasa";"IPU";50;"F";0;"S-Ostrobothnia";6;0;0;0
"Lindqvist Timo";"Kymi";"IPU";62;"M";1;"Kymenlaakso";6;0;0;0
"Lindroos Anu";"Helsinki";"IPU";41;"F";0;"Uusimaa";3;0;0;0
"Luoma Ilkka";"Uusimaa";"IPU";53;"M";1;"Uusimaa";4;0;0;0
"Mannisto Niina";"Uusimaa";"IPU";45;"F";1;"Uusimaa";6;0;0;0
"Manttari Aune";"Kymi";"IPU";74;"F";0;"Kymenlaakso";4;0;0;0
"Matto Saku";"Helsinki";"IPU";44;"M";0;"Uusimaa";3;0;0;0
"Nygaard Mauri";"Oulu";"IPU";69;"M";0;NA;7;0;0;0
"Parviainen Heini";"Uusimaa";"IPU";33;"F";0;"Uusimaa";4;1;0;0
"Pekkanen Pauliina";"Finland Proper";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Pekkanen Virpi";"Satakunta";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Pellinen Jarmo";"Kymi";"IPU";55;"M";0;"S-Karelia";4;0;0;0
"Pesonen Antti";"Vaasa";"IPU";47;"M";0;NA;0;1;0;0
"Pesonen Raimo";"Pirkanmaa";"IPU";NA;NA;NA;NA;NA;NA;NA;NA
"Piho Jouko";"Uusimaa";"IPU";64;"M";0;"Uusimaa";5;0;0;0
